code,sector,screen_date,entry_price,final_price,forward_return,max_dd_fwd,days_held,v2_score,v1_score,reasons,pct_ma60,vol_ratio,chg20d,accum_score
600776,通信设备,2025-08-25,11.88,13.40,12.8,-48.7,200,105,87,完美多头排列|极早期(8%)|温和放量(1.5x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(通信设备)|周线向上|多周期共振,8.2,1.5,6.2,12
000727,光学光电子,2025-08-25,2.68,2.67,-0.4,-19.2,200,105,87,完美多头排列|极早期(9%)|温和放量(1.5x)|稳健上行(+9%)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,9.2,1.5,8.6,12
600105,通信设备,2025-08-25,9.97,65.71,559.1,-20.1,200,105,87,完美多头排列|极早期(15%)|温和放量(1.2x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(通信设备)|周线向上|多周期共振,14.9,1.2,6.5,12
000636,元件,2025-08-25,15.60,78.50,403.2,-30.0,200,105,87,完美多头排列|极早期(12%)|温和放量(1.5x)|稳健上行(+8%)|底部蓄力(波动收缩)|强势行业(元件)|周线向上|多周期共振,11.5,1.5,8.4,12
600176,玻璃玻纤,2025-08-25,13.41,74.12,452.7,-20.7,200,105,87,完美多头排列|极早期(12%)|温和放量(1.5x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(玻璃玻纤)|周线向上|多周期共振,12.5,1.5,5.7,12
000050,光学光电子,2025-08-25,10.02,9.88,-1.4,-30.1,200,105,87,完美多头排列|极早期(11%)|温和放量(1.4x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,10.8,1.4,6.1,12
002643,电子化学品,2025-08-25,13.72,19.44,41.6,-24.9,200,102,84,完美多头排列|早期(16%)|温和放量(1.3x)|稳健上行(+6%)|底部蓄力(波动收缩)|强势行业(电子化学品)|周线向上|多周期共振,15.6,1.3,5.9,12
900918,玻璃玻纤,2025-08-25,0.34,0.31,-7.9,-23.3,200,100,72,完美多头排列|极早期(6%)|温和放量(1.4x)|底部蓄力(波动收缩)|强势行业(玻璃玻纤)|周线向上|多周期共振,6.1,1.4,2.7,12
000100,光学光电子,2025-08-25,4.69,5.40,15.1,-19.2,200,100,72,完美多头排列|极早期(7%)|温和放量(1.4x)|底部蓄力(波动收缩)|强势行业(光学光电子)|周线向上|多周期共振,7.3,1.4,3.1,12
600563,元件,2025-08-25,118.38,188.76,59.5,-24.3,200,100,72,完美多头排列|极早期(8%)|温和放量(1.5x)|底部蓄力(波动收缩)|强势行业(元件)|周线向上|多周期共振,7.5,1.5,4.4,12
002623,光伏设备,2025-08-25,21.88,15.30,-30.1,-52.3,200,100,72,完美多头排列|极早期(15%)|温和放量(1.5x)|底部蓄力(波动收缩)|强势行业(光伏设备)|周线向上|多周期共振,14.6,1.5,1.9,12
