code,name,price,pe_ttm,pb,mcap_yi,change_pct,turnover,score,pct_ma20,pct_ma60,vol_ratio,chg_20d,dd_10d,reasons,tags,sector,hot_count
603661,恒林股份,40.06,32.6,1.5,56,7.4,10.2,100,15.6,24.7,1.2,21.6,-2.4,多头排列|均线发散向上|距MA60仅25%(极早期)|近期突破新高|20日涨22%(稳健)|回撤控制好|PE=33x(低估),投资GPU公司|培育钻石|家居用品|出口,,2
605020,永和股份,41.22,32.7,3.7,207,6.0,9.4,99,16.8,37.1,1.4,21.3,-1.9,多头排列|均线发散向上|距MA60=37%(早期)|近期突破新高|温和放量(1.4x)|20日涨21%(稳健)|回撤控制好|PE=33x(低估),制冷剂涨价|氟化工|液冷|一季报增长|PVDF,,2
002816,*ST和科,28.26,273.6,11.9,28,5.0,4.4,97,8.4,13.1,1.3,10.9,-0.7,多头排列|均线发散向上|距MA60仅13%(极早期)|近期突破新高|温和放量(1.3x)|20日涨11%(稳健)|回撤控制好,半导体设备|机器人线束|颖泉国资,,4
000620,盈新发展,3.42,-16.9,5.5,160,10.0,17.0,97,14.5,15.8,1.4,20.4,0.0,多头排列|均线发散向上|距MA60仅16%(极早期)|近期突破新高|温和放量(1.4x)|20日涨20%(稳健)|回撤控制好,存储芯片|封装测试|战略转型,,4
002559,亚威股份,12.31,66.4,3.9,62,10.0,21.9,94,20.1,18.6,1.4,16.8,0.0,站上MA20|均线发散向上|距MA60仅19%(极早期)|近期突破新高|温和放量(1.4x)|20日涨17%(稳健)|回撤控制好|PE=66x(合理),参股半导体检测公司|工业母机|机器人|海外并购,,4
000100,TCL科技,5.40,22.2,1.9,1033,1.1,12.8,90,13.8,22.6,1.2,20.0,-4.8,多头排列|均线发散向上|距MA60仅23%(极早期)|20日涨20%(稳健)|回撤控制好|PE=22x(低估),,光学光电子,0
605366,宏柏新材,14.38,-66.1,4.2,111,10.0,19.6,89,30.7,20.3,1.9,22.9,0.0,站上MA20|均线发散向上|距MA60仅20%(极早期)|近期突破新高|温和放量(1.9x)|20日涨23%(稳健)|回撤控制好,光纤概念|高纯四氯化硅|含硫硅烷|券商推荐|电子级硅基材料,,7
603698,航天工程,43.55,104.4,6.7,233,10.0,6.1,89,30.8,18.5,1.6,24.7,0.0,站上MA20|均线发散向上|距MA60仅18%(极早期)|近期突破新高|温和放量(1.6x)|20日涨25%(稳健)|回撤控制好,实控人航天科技|绿氢工程|煤气化|央企,,5
600563,法拉电子,188.76,35.5,7.3,425,-0.7,7.6,89,14.6,33.4,1.2,8.2,-3.4,多头排列|均线发散向上|距MA60=33%(早期)|温和放量(1.2x)|20日涨8%(稳健)|回撤控制好|PE=36x(低估),,元件,0
000783,长江证券,9.76,12.8,1.5,540,-3.8,7.8,89,22.1,28.2,2.3,24.3,-4.1,多头排列|均线发散向上|距MA60=28%(早期)|温和放量(2.3x)|20日涨24%(稳健)|回撤控制好|PE=13x(低估),券商|科创投资|一季报增长|高分红|高分红填权|证券|分红填权|湖北国资,,3
200012,南  玻Ｂ,1.59,473.5,0.3,17,1.3,0.5,89,10.4,7.8,1.5,14.4,-2.5,站上MA20|均线发散向上|距MA60仅8%(极早期)|近期突破新高|温和放量(1.5x)|20日涨14%(稳健)|回撤控制好,,玻璃玻纤,0
600962,国投中鲁,29.00,418.5,8.0,76,10.0,3.8,89,15.2,25.5,1.3,12.9,0.0,多头排列|均线发散向上|距MA60=26%(早期)|近期突破新高|温和放量(1.3x)|20日涨13%(稳健)|回撤控制好,半导体工程|并购重组|浓缩果汁|央企,,5
002106,莱宝高科,15.62,53.8,2.0,110,10.0,8.0,88,17.2,34.3,1.2,27.0,0.0,多头排列|均线发散向上|距MA60=34%(早期)|近期突破新高|温和放量(1.2x)|20日涨27%(加速)|回撤控制好|PE=54x(合理),玻璃基板封装|MED电子纸|触摸屏龙头,,4
600400,红豆股份,3.27,-18.8,5.4,75,-2.4,4.0,87,15.0,25.0,2.0,5.1,-4.4,多头排列|均线发散向上|距MA60仅25%(极早期)|温和放量(2.0x)|20日涨5%(稳健)|回撤控制好,问询函澄清|养老机器人|男装,,2
603928,兴业股份,12.23,34.6,2.6,42,10.0,3.5,87,5.1,3.4,1.8,-1.4,-2.9,站上MA20|均线发散向上|距MA60仅3%(极早期)|近期突破新高|温和放量(1.8x)|回撤控制好|PE=35x(低估),铸造树脂|光刻胶|业绩增长,,4
600237,铜峰电子,13.21,71.0,4.3,83,1.7,22.5,87,15.0,32.7,1.1,21.9,-2.4,多头排列|均线发散向上|距MA60=33%(早期)|近期突破新高|20日涨22%(稳健)|回撤控制好|PE=71x(合理),,元件,0
603270,金帝股份,31.59,46.0,3.0,22,10.0,10.0,87,7.4,13.0,0.9,7.5,-1.2,多头排列|均线发散向上|距MA60仅13%(极早期)|近期突破新高|20日涨8%(稳健)|回撤控制好|PE=46x(合理),半导体散热片|关节模组|人形机器人|精密冲压,,4
002643,万润股份,19.44,60.9,2.6,175,1.9,5.5,84,21.3,18.2,1.3,18.7,-4.9,站上MA20|均线发散向上|距MA60仅18%(极早期)|温和放量(1.3x)|20日涨19%(稳健)|回撤控制好|PE=61x(合理),,电子化学品,0
002129,TCL中环,11.19,-5.0,2.3,452,10.0,12.8,84,12.9,20.2,1.0,7.2,0.0,多头排列|距MA60仅20%(极早期)|近期突破新高|20日涨7%(稳健)|回撤控制好,半导体硅片|光伏硅片,光伏设备,4
